Pair_a,Pair_b,Defer
ref_4_Img9,ref_4_Img10,False
ref_4_Img9,ref_4_Img11,True
ref_4_Img9,ref_4_Img12,True
ref_4_Img9,ref_4_Img13,False
ref_4_Img9,ref_4_Img14,False
ref_4_Img9,ref_4_Img15,False
ref_4_Img9,ref_4_Img16,True
ref_4_Img10,ref_4_Img11,True
ref_4_Img10,ref_4_Img12,True
ref_4_Img10,ref_4_Img13,True
ref_4_Img10,ref_4_Img14,False
ref_4_Img10,ref_4_Img15,False
ref_4_Img10,ref_4_Img16,True
ref_4_Img11,ref_4_Img12,True
ref_4_Img11,ref_4_Img13,True
ref_4_Img11,ref_4_Img14,False
ref_4_Img11,ref_4_Img15,True
ref_4_Img11,ref_4_Img16,False
ref_4_Img12,ref_4_Img13,False
ref_4_Img12,ref_4_Img14,False
ref_4_Img12,ref_4_Img15,False
ref_4_Img12,ref_4_Img16,True
ref_4_Img13,ref_4_Img14,False
ref_4_Img13,ref_4_Img15,True
ref_4_Img13,ref_4_Img16,True
ref_4_Img14,ref_4_Img15,False
ref_4_Img14,ref_4_Img16,True
ref_4_Img15,ref_4_Img16,False
ref_5_Img1,ref_5_Img2,False
ref_5_Img1,ref_5_Img3,False
ref_5_Img1,ref_5_Img4,False
ref_5_Img1,ref_5_Img5,False
ref_5_Img1,ref_5_Img6,False
ref_5_Img1,ref_5_Img7,False
ref_5_Img1,ref_5_Img8,False
ref_5_Img1,ref_5_Img9,False
ref_5_Img1,ref_5_Img10,True
ref_5_Img1,ref_5_Img11,False
ref_5_Img1,ref_5_Img12,False
ref_5_Img1,ref_5_Img13,False
ref_5_Img1,ref_5_Img14,False
ref_5_Img1,ref_5_Img15,False
ref_5_Img1,ref_5_Img16,False
ref_5_Img2,ref_5_Img3,True
ref_5_Img2,ref_5_Img4,True
ref_5_Img2,ref_5_Img5,False
ref_5_Img2,ref_5_Img6,False
ref_5_Img2,ref_5_Img7,True
ref_5_Img2,ref_5_Img8,True
ref_5_Img2,ref_5_Img9,False
ref_5_Img2,ref_5_Img10,False
ref_5_Img2,ref_5_Img11,False
ref_5_Img2,ref_5_Img12,False
ref_5_Img2,ref_5_Img13,False
ref_5_Img2,ref_5_Img14,False
ref_5_Img2,ref_5_Img15,True
ref_5_Img2,ref_5_Img16,True
ref_5_Img3,ref_5_Img4,False
ref_5_Img3,ref_5_Img5,True
ref_5_Img3,ref_5_Img6,False
ref_5_Img3,ref_5_Img7,False
ref_5_Img3,ref_5_Img8,True
ref_5_Img3,ref_5_Img9,True
ref_5_Img3,ref_5_Img10,False
ref_5_Img3,ref_5_Img11,True
ref_5_Img3,ref_5_Img12,True
ref_5_Img3,ref_5_Img13,False
ref_5_Img3,ref_5_Img14,True
ref_5_Img3,ref_5_Img15,False
ref_5_Img3,ref_5_Img16,False
ref_5_Img4,ref_5_Img5,False
ref_5_Img4,ref_5_Img6,False
ref_5_Img4,ref_5_Img7,False
ref_5_Img4,ref_5_Img8,False
ref_5_Img4,ref_5_Img9,False
ref_5_Img4,ref_5_Img10,False
ref_5_Img4,ref_5_Img11,True
ref_5_Img4,ref_5_Img12,False
ref_5_Img4,ref_5_Img13,False
ref_5_Img4,ref_5_Img14,False
ref_5_Img4,ref_5_Img15,True
ref_5_Img4,ref_5_Img16,False
ref_5_Img5,ref_5_Img6,False
ref_5_Img5,ref_5_Img7,False
ref_5_Img5,ref_5_Img8,False
ref_5_Img5,ref_5_Img9,False
ref_5_Img5,ref_5_Img10,True
ref_5_Img5,ref_5_Img11,False
ref_5_Img5,ref_5_Img12,False
ref_5_Img5,ref_5_Img13,False
ref_5_Img5,ref_5_Img14,False
ref_5_Img5,ref_5_Img15,False
ref_5_Img5,ref_5_Img16,False
ref_5_Img6,ref_5_Img7,True
ref_5_Img6,ref_5_Img8,True
ref_5_Img6,ref_5_Img9,False
ref_5_Img6,ref_5_Img10,False
ref_5_Img6,ref_5_Img11,False
ref_5_Img6,ref_5_Img12,False
ref_5_Img6,ref_5_Img13,True
ref_5_Img6,ref_5_Img14,False
ref_5_Img6,ref_5_Img15,True
ref_5_Img6,ref_5_Img16,False
ref_5_Img7,ref_5_Img8,True
ref_5_Img7,ref_5_Img9,True
ref_5_Img7,ref_5_Img10,False
ref_5_Img7,ref_5_Img11,False
ref_5_Img7,ref_5_Img12,False
ref_5_Img7,ref_5_Img13,False
ref_5_Img7,ref_5_Img14,True
ref_5_Img7,ref_5_Img15,True
ref_5_Img7,ref_5_Img16,True
ref_5_Img8,ref_5_Img9,False
ref_5_Img8,ref_5_Img10,False
ref_5_Img8,ref_5_Img11,True
ref_5_Img8,ref_5_Img12,True
ref_5_Img8,ref_5_Img13,False
ref_5_Img8,ref_5_Img14,True
ref_5_Img8,ref_5_Img15,True
ref_5_Img8,ref_5_Img16,False
ref_5_Img9,ref_5_Img10,True
ref_5_Img9,ref_5_Img11,False
ref_5_Img9,ref_5_Img12,True
ref_5_Img9,ref_5_Img13,True
ref_5_Img9,ref_5_Img14,False
ref_5_Img9,ref_5_Img15,False
ref_5_Img9,ref_5_Img16,True
ref_5_Img10,ref_5_Img11,False
ref_5_Img10,ref_5_Img12,False
ref_5_Img10,ref_5_Img13,True
ref_5_Img10,ref_5_Img14,False
ref_5_Img10,ref_5_Img15,False
ref_5_Img10,ref_5_Img16,False
ref_5_Img11,ref_5_Img12,False
ref_5_Img11,ref_5_Img13,False
ref_5_Img11,ref_5_Img14,True
ref_5_Img11,ref_5_Img15,True
ref_5_Img11,ref_5_Img16,False
ref_5_Img12,ref_5_Img13,True
ref_5_Img12,ref_5_Img14,False
ref_5_Img12,ref_5_Img15,False
ref_5_Img12,ref_5_Img16,False
ref_5_Img13,ref_5_Img14,False
ref_5_Img13,ref_5_Img15,False
ref_5_Img13,ref_5_Img16,False
ref_5_Img14,ref_5_Img15,True
ref_5_Img14,ref_5_Img16,False
ref_5_Img15,ref_5_Img16,False
ref_6_Img1,ref_6_Img2,False
ref_6_Img1,ref_6_Img3,False
ref_6_Img1,ref_6_Img4,False
ref_6_Img1,ref_6_Img5,False
ref_6_Img1,ref_6_Img6,False
ref_6_Img1,ref_6_Img7,False
ref_6_Img1,ref_6_Img8,False
ref_6_Img1,ref_6_Img9,False
ref_6_Img1,ref_6_Img10,False
ref_6_Img1,ref_6_Img11,False
ref_6_Img1,ref_6_Img12,False
ref_6_Img1,ref_6_Img13,False
ref_6_Img1,ref_6_Img14,False
ref_6_Img1,ref_6_Img15,False
ref_6_Img1,ref_6_Img16,False
ref_6_Img2,ref_6_Img3,False
ref_6_Img2,ref_6_Img4,False
ref_6_Img2,ref_6_Img5,False
ref_6_Img2,ref_6_Img6,False
ref_6_Img2,ref_6_Img7,False
ref_6_Img2,ref_6_Img8,False
ref_6_Img2,ref_6_Img9,False
ref_6_Img2,ref_6_Img10,False
ref_6_Img2,ref_6_Img11,False
ref_6_Img2,ref_6_Img12,False
ref_6_Img2,ref_6_Img13,False
ref_6_Img2,ref_6_Img14,False
ref_6_Img2,ref_6_Img15,False
ref_6_Img2,ref_6_Img16,False
ref_6_Img3,ref_6_Img4,True
ref_6_Img3,ref_6_Img5,False
ref_6_Img3,ref_6_Img6,False
ref_6_Img3,ref_6_Img7,False
ref_6_Img3,ref_6_Img8,True
ref_6_Img3,ref_6_Img9,False
ref_6_Img3,ref_6_Img10,False
ref_6_Img3,ref_6_Img11,False
ref_6_Img3,ref_6_Img12,False
ref_6_Img3,ref_6_Img13,False
ref_6_Img3,ref_6_Img14,True
ref_6_Img3,ref_6_Img15,True
ref_6_Img3,ref_6_Img16,False
ref_6_Img4,ref_6_Img5,False
ref_6_Img4,ref_6_Img6,False
ref_6_Img4,ref_6_Img7,False
ref_6_Img4,ref_6_Img8,False
ref_6_Img4,ref_6_Img9,True
ref_6_Img4,ref_6_Img10,False
ref_6_Img4,ref_6_Img11,False
ref_6_Img4,ref_6_Img12,True
ref_6_Img4,ref_6_Img13,False
ref_6_Img4,ref_6_Img14,False
ref_6_Img4,ref_6_Img15,False
ref_6_Img4,ref_6_Img16,False
ref_6_Img5,ref_6_Img6,False
ref_6_Img5,ref_6_Img7,True
ref_6_Img5,ref_6_Img8,False
ref_6_Img5,ref_6_Img9,False
ref_6_Img5,ref_6_Img10,False
ref_6_Img5,ref_6_Img11,True
ref_6_Img5,ref_6_Img12,True
ref_6_Img5,ref_6_Img13,False
ref_6_Img5,ref_6_Img14,False
ref_6_Img5,ref_6_Img15,False
ref_6_Img5,ref_6_Img16,False
ref_6_Img6,ref_6_Img7,True
ref_6_Img6,ref_6_Img8,False
ref_6_Img6,ref_6_Img9,False
ref_6_Img6,ref_6_Img10,False
ref_6_Img6,ref_6_Img11,False
ref_6_Img6,ref_6_Img12,False
ref_6_Img6,ref_6_Img13,False
ref_6_Img6,ref_6_Img14,False
ref_6_Img6,ref_6_Img15,True
ref_6_Img6,ref_6_Img16,False
ref_6_Img7,ref_6_Img8,True
ref_6_Img7,ref_6_Img9,False
ref_6_Img7,ref_6_Img10,False
ref_6_Img7,ref_6_Img11,False
ref_6_Img7,ref_6_Img12,False
ref_6_Img7,ref_6_Img13,False
ref_6_Img7,ref_6_Img14,False
ref_6_Img7,ref_6_Img15,False
ref_6_Img7,ref_6_Img16,False
ref_6_Img8,ref_6_Img9,False
ref_6_Img8,ref_6_Img10,False
ref_6_Img8,ref_6_Img11,False
ref_6_Img8,ref_6_Img12,False
ref_6_Img8,ref_6_Img13,False
ref_6_Img8,ref_6_Img14,True
ref_6_Img8,ref_6_Img15,False
ref_6_Img8,ref_6_Img16,True
ref_6_Img9,ref_6_Img10,False
ref_6_Img9,ref_6_Img11,False
ref_6_Img9,ref_6_Img12,False
ref_6_Img9,ref_6_Img13,False
ref_6_Img9,ref_6_Img14,False
ref_6_Img9,ref_6_Img15,False
ref_6_Img9,ref_6_Img16,False
ref_6_Img10,ref_6_Img11,False
ref_6_Img10,ref_6_Img12,False
ref_6_Img10,ref_6_Img13,False
ref_6_Img10,ref_6_Img14,False
ref_6_Img10,ref_6_Img15,False
ref_6_Img10,ref_6_Img16,False
ref_6_Img11,ref_6_Img12,False
ref_6_Img11,ref_6_Img13,False
ref_6_Img11,ref_6_Img14,False
ref_6_Img11,ref_6_Img15,False
ref_6_Img11,ref_6_Img16,False
ref_6_Img12,ref_6_Img13,False
ref_6_Img12,ref_6_Img14,False
ref_6_Img12,ref_6_Img15,False
ref_6_Img12,ref_6_Img16,True
ref_6_Img13,ref_6_Img14,False
ref_6_Img13,ref_6_Img15,True
ref_6_Img13,ref_6_Img16,False
ref_6_Img14,ref_6_Img15,False
ref_6_Img14,ref_6_Img16,False
ref_6_Img15,ref_6_Img16,True
ref_7_Img1,ref_7_Img2,False
ref_7_Img1,ref_7_Img3,False
ref_7_Img1,ref_7_Img4,False
ref_7_Img1,ref_7_Img5,False
ref_7_Img1,ref_7_Img6,False
ref_7_Img1,ref_7_Img7,False
ref_7_Img1,ref_7_Img8,True
ref_7_Img1,ref_7_Img9,False
ref_7_Img1,ref_7_Img10,False
ref_7_Img1,ref_7_Img11,False
ref_7_Img1,ref_7_Img12,False
ref_7_Img1,ref_7_Img13,False
ref_7_Img1,ref_7_Img14,False
ref_7_Img1,ref_7_Img15,False
ref_7_Img1,ref_7_Img16,False
ref_7_Img2,ref_7_Img3,False
ref_7_Img2,ref_7_Img4,False
ref_7_Img2,ref_7_Img5,False
ref_7_Img2,ref_7_Img6,False
ref_7_Img2,ref_7_Img7,False
ref_7_Img2,ref_7_Img8,False
ref_7_Img2,ref_7_Img9,False
ref_7_Img2,ref_7_Img10,False
ref_7_Img2,ref_7_Img11,False
ref_7_Img2,ref_7_Img12,False
ref_7_Img2,ref_7_Img13,False
ref_7_Img2,ref_7_Img14,False
ref_7_Img2,ref_7_Img15,False
ref_7_Img2,ref_7_Img16,False
ref_7_Img3,ref_7_Img4,True
ref_7_Img3,ref_7_Img5,False
ref_7_Img3,ref_7_Img6,True
ref_7_Img3,ref_7_Img7,False
ref_7_Img3,ref_7_Img8,False
ref_7_Img3,ref_7_Img9,False
ref_7_Img3,ref_7_Img10,False
ref_7_Img3,ref_7_Img11,False
ref_7_Img3,ref_7_Img12,False
ref_7_Img3,ref_7_Img13,False
ref_7_Img3,ref_7_Img14,False
ref_7_Img3,ref_7_Img15,False
ref_7_Img3,ref_7_Img16,False
ref_7_Img4,ref_7_Img5,False
ref_7_Img4,ref_7_Img6,False
ref_7_Img4,ref_7_Img7,False
ref_7_Img4,ref_7_Img8,False
ref_7_Img4,ref_7_Img9,False
ref_7_Img4,ref_7_Img10,False
ref_7_Img4,ref_7_Img11,True
ref_7_Img4,ref_7_Img12,False
ref_7_Img4,ref_7_Img13,False
ref_7_Img4,ref_7_Img14,True
ref_7_Img4,ref_7_Img15,False
ref_7_Img4,ref_7_Img16,False
ref_7_Img5,ref_7_Img6,False
ref_7_Img5,ref_7_Img7,False
ref_7_Img5,ref_7_Img8,False
ref_7_Img5,ref_7_Img9,False
ref_7_Img5,ref_7_Img10,False
ref_7_Img5,ref_7_Img11,False
ref_7_Img5,ref_7_Img12,False
ref_7_Img5,ref_7_Img13,False
ref_7_Img5,ref_7_Img14,False
ref_7_Img5,ref_7_Img15,False
ref_7_Img5,ref_7_Img16,False
ref_7_Img6,ref_7_Img7,False
ref_7_Img6,ref_7_Img8,False
ref_7_Img6,ref_7_Img9,False
ref_7_Img6,ref_7_Img10,False
ref_7_Img6,ref_7_Img11,False
ref_7_Img6,ref_7_Img12,False
ref_7_Img6,ref_7_Img13,False
ref_7_Img6,ref_7_Img14,True
ref_7_Img6,ref_7_Img15,False
ref_7_Img6,ref_7_Img16,True
ref_7_Img7,ref_7_Img8,False
ref_7_Img7,ref_7_Img9,False
ref_7_Img7,ref_7_Img10,False
ref_7_Img7,ref_7_Img11,False
ref_7_Img7,ref_7_Img12,True
ref_7_Img7,ref_7_Img13,True
ref_7_Img7,ref_7_Img14,False
ref_7_Img7,ref_7_Img15,False
ref_7_Img7,ref_7_Img16,False
ref_7_Img8,ref_7_Img9,False
ref_7_Img8,ref_7_Img10,False
ref_7_Img8,ref_7_Img11,False
ref_7_Img8,ref_7_Img12,False
ref_7_Img8,ref_7_Img13,False
ref_7_Img8,ref_7_Img14,False
ref_7_Img8,ref_7_Img15,False
ref_7_Img8,ref_7_Img16,False
ref_7_Img9,ref_7_Img10,False
ref_7_Img9,ref_7_Img11,False
ref_7_Img9,ref_7_Img12,False
ref_7_Img9,ref_7_Img13,False
ref_7_Img9,ref_7_Img14,True
ref_7_Img9,ref_7_Img15,False
ref_7_Img9,ref_7_Img16,False
ref_7_Img10,ref_7_Img11,False
ref_7_Img10,ref_7_Img12,False
ref_7_Img10,ref_7_Img13,False
ref_7_Img10,ref_7_Img14,False
ref_7_Img10,ref_7_Img15,False
ref_7_Img10,ref_7_Img16,False
ref_7_Img11,ref_7_Img12,False
ref_7_Img11,ref_7_Img13,False
ref_7_Img11,ref_7_Img14,False
ref_7_Img11,ref_7_Img15,False
ref_7_Img11,ref_7_Img16,False
ref_7_Img12,ref_7_Img13,False
ref_7_Img12,ref_7_Img14,False
ref_7_Img12,ref_7_Img15,False
ref_7_Img12,ref_7_Img16,False
ref_7_Img13,ref_7_Img14,False
ref_7_Img13,ref_7_Img15,False
ref_7_Img13,ref_7_Img16,False
ref_7_Img14,ref_7_Img15,False
ref_7_Img14,ref_7_Img16,False
ref_7_Img15,ref_7_Img16,False
ref_8_Img1,ref_8_Img2,False
ref_8_Img1,ref_8_Img3,False
ref_8_Img1,ref_8_Img4,False
ref_8_Img1,ref_8_Img5,False
ref_8_Img1,ref_8_Img6,False
ref_8_Img1,ref_8_Img7,False
ref_8_Img1,ref_8_Img8,False
ref_8_Img1,ref_8_Img9,False
ref_8_Img1,ref_8_Img10,False
ref_8_Img1,ref_8_Img11,False
ref_8_Img1,ref_8_Img12,False
ref_8_Img1,ref_8_Img13,False
ref_8_Img1,ref_8_Img14,False
ref_8_Img1,ref_8_Img15,False
ref_8_Img1,ref_8_Img16,False
ref_8_Img2,ref_8_Img3,False
ref_8_Img2,ref_8_Img4,False
ref_8_Img2,ref_8_Img5,False
ref_8_Img2,ref_8_Img6,False
ref_8_Img2,ref_8_Img7,False
ref_8_Img2,ref_8_Img8,False
ref_8_Img2,ref_8_Img9,False
ref_8_Img2,ref_8_Img10,False
ref_8_Img2,ref_8_Img11,False
ref_8_Img2,ref_8_Img12,False
ref_8_Img2,ref_8_Img13,False
ref_8_Img2,ref_8_Img14,False
ref_8_Img2,ref_8_Img15,True
ref_8_Img2,ref_8_Img16,False
ref_8_Img3,ref_8_Img4,False
ref_8_Img3,ref_8_Img5,False
ref_8_Img3,ref_8_Img6,False
ref_8_Img3,ref_8_Img7,True
ref_8_Img3,ref_8_Img8,False
ref_8_Img3,ref_8_Img9,False
ref_8_Img3,ref_8_Img10,False
ref_8_Img3,ref_8_Img11,True
ref_8_Img3,ref_8_Img12,False
ref_8_Img3,ref_8_Img13,False
ref_8_Img3,ref_8_Img14,False
ref_8_Img3,ref_8_Img15,False
ref_8_Img3,ref_8_Img16,False
ref_8_Img4,ref_8_Img5,False
ref_8_Img4,ref_8_Img6,False
ref_8_Img4,ref_8_Img7,False
ref_8_Img4,ref_8_Img8,False
ref_8_Img4,ref_8_Img9,False
ref_8_Img4,ref_8_Img10,False
ref_8_Img4,ref_8_Img11,False
ref_8_Img4,ref_8_Img12,True
ref_8_Img4,ref_8_Img13,False
ref_8_Img4,ref_8_Img14,False
ref_8_Img4,ref_8_Img15,False
ref_8_Img4,ref_8_Img16,False
ref_8_Img5,ref_8_Img6,False
ref_8_Img5,ref_8_Img7,False
ref_8_Img5,ref_8_Img8,False
ref_8_Img5,ref_8_Img9,False
ref_8_Img5,ref_8_Img10,False
ref_8_Img5,ref_8_Img11,False
ref_8_Img5,ref_8_Img12,False
ref_8_Img5,ref_8_Img13,False
ref_8_Img5,ref_8_Img14,False
ref_8_Img5,ref_8_Img15,False
ref_8_Img5,ref_8_Img16,False
ref_8_Img6,ref_8_Img7,False
ref_8_Img6,ref_8_Img8,False
ref_8_Img6,ref_8_Img9,True
ref_8_Img6,ref_8_Img10,False
ref_8_Img6,ref_8_Img11,False
ref_8_Img6,ref_8_Img12,False
ref_8_Img6,ref_8_Img13,False
ref_8_Img6,ref_8_Img14,False
ref_8_Img6,ref_8_Img15,False
ref_8_Img6,ref_8_Img16,False
ref_8_Img7,ref_8_Img8,False
ref_8_Img7,ref_8_Img9,False
ref_8_Img7,ref_8_Img10,True
ref_8_Img7,ref_8_Img11,False
ref_8_Img7,ref_8_Img12,False
ref_8_Img7,ref_8_Img13,False
ref_8_Img7,ref_8_Img14,False
ref_8_Img7,ref_8_Img15,False
ref_8_Img7,ref_8_Img16,False
ref_8_Img8,ref_8_Img9,False
ref_8_Img8,ref_8_Img10,False
ref_8_Img8,ref_8_Img11,False
ref_8_Img8,ref_8_Img12,False
ref_8_Img8,ref_8_Img13,False
ref_8_Img8,ref_8_Img14,False
ref_8_Img8,ref_8_Img15,True
ref_8_Img8,ref_8_Img16,False
ref_8_Img9,ref_8_Img10,False
ref_8_Img9,ref_8_Img11,False
ref_8_Img9,ref_8_Img12,False
ref_8_Img9,ref_8_Img13,False
ref_8_Img9,ref_8_Img14,False
ref_8_Img9,ref_8_Img15,True
ref_8_Img9,ref_8_Img16,False
ref_8_Img10,ref_8_Img11,False
ref_8_Img10,ref_8_Img12,False
ref_8_Img10,ref_8_Img13,False
ref_8_Img10,ref_8_Img14,False
ref_8_Img10,ref_8_Img15,False
ref_8_Img10,ref_8_Img16,False
ref_8_Img11,ref_8_Img12,False
ref_8_Img11,ref_8_Img13,False
ref_8_Img11,ref_8_Img14,False
ref_8_Img11,ref_8_Img15,False
ref_8_Img11,ref_8_Img16,False
ref_8_Img12,ref_8_Img13,False
ref_8_Img12,ref_8_Img14,False
ref_8_Img12,ref_8_Img15,False
ref_8_Img12,ref_8_Img16,False
ref_8_Img13,ref_8_Img14,False
ref_8_Img13,ref_8_Img15,False
ref_8_Img13,ref_8_Img16,False
ref_8_Img14,ref_8_Img15,False
ref_8_Img14,ref_8_Img16,False
ref_8_Img15,ref_8_Img16,False
ref_9_Img1,ref_9_Img2,False
ref_9_Img1,ref_9_Img3,False
ref_9_Img1,ref_9_Img4,False
ref_9_Img1,ref_9_Img5,False
ref_9_Img1,ref_9_Img6,False
ref_9_Img1,ref_9_Img7,False
ref_9_Img1,ref_9_Img8,False
ref_9_Img1,ref_9_Img9,False
ref_9_Img1,ref_9_Img10,False
ref_9_Img1,ref_9_Img11,False
ref_9_Img1,ref_9_Img12,False
ref_9_Img1,ref_9_Img13,False
ref_9_Img1,ref_9_Img14,False
ref_9_Img1,ref_9_Img15,False
ref_9_Img1,ref_9_Img16,False
ref_9_Img2,ref_9_Img3,False
ref_9_Img2,ref_9_Img4,False
ref_9_Img2,ref_9_Img5,False
ref_9_Img2,ref_9_Img6,False
ref_9_Img2,ref_9_Img7,False
ref_9_Img2,ref_9_Img8,False
ref_9_Img2,ref_9_Img9,False
ref_9_Img2,ref_9_Img10,False
ref_9_Img2,ref_9_Img11,False
ref_9_Img2,ref_9_Img12,False
ref_9_Img2,ref_9_Img13,False
ref_9_Img2,ref_9_Img14,False
ref_9_Img2,ref_9_Img15,False
ref_9_Img2,ref_9_Img16,False
ref_9_Img3,ref_9_Img4,False
ref_9_Img3,ref_9_Img5,False
ref_9_Img3,ref_9_Img6,False
ref_9_Img3,ref_9_Img7,False
ref_9_Img3,ref_9_Img8,True
ref_9_Img3,ref_9_Img9,False
ref_9_Img3,ref_9_Img10,False
ref_9_Img3,ref_9_Img11,False
ref_9_Img3,ref_9_Img12,False
ref_9_Img3,ref_9_Img13,False
ref_9_Img3,ref_9_Img14,False
ref_9_Img3,ref_9_Img15,False
ref_9_Img3,ref_9_Img16,False
ref_9_Img4,ref_9_Img5,False
ref_9_Img4,ref_9_Img6,False
ref_9_Img4,ref_9_Img7,False
ref_9_Img4,ref_9_Img8,False
ref_9_Img4,ref_9_Img9,False
ref_9_Img4,ref_9_Img10,False
ref_9_Img4,ref_9_Img11,False
ref_9_Img4,ref_9_Img12,False
ref_9_Img4,ref_9_Img13,False
ref_9_Img4,ref_9_Img14,False
ref_9_Img4,ref_9_Img15,False
ref_9_Img4,ref_9_Img16,False
ref_9_Img5,ref_9_Img6,False
ref_9_Img5,ref_9_Img7,False
ref_9_Img5,ref_9_Img8,False
ref_9_Img5,ref_9_Img9,False
ref_9_Img5,ref_9_Img10,False
ref_9_Img5,ref_9_Img11,False
ref_9_Img5,ref_9_Img12,True
ref_9_Img5,ref_9_Img13,False
ref_9_Img5,ref_9_Img14,False
ref_9_Img5,ref_9_Img15,False
ref_9_Img5,ref_9_Img16,False
ref_9_Img6,ref_9_Img7,False
ref_9_Img6,ref_9_Img8,False
ref_9_Img6,ref_9_Img9,False
ref_9_Img6,ref_9_Img10,False
ref_9_Img6,ref_9_Img11,False
ref_9_Img6,ref_9_Img12,False
ref_9_Img6,ref_9_Img13,False
ref_9_Img6,ref_9_Img14,False
ref_9_Img6,ref_9_Img15,False
ref_9_Img6,ref_9_Img16,False
ref_9_Img7,ref_9_Img8,False
ref_9_Img7,ref_9_Img9,False
ref_9_Img7,ref_9_Img10,False
ref_9_Img7,ref_9_Img11,False
ref_9_Img7,ref_9_Img12,False
ref_9_Img7,ref_9_Img13,False
ref_9_Img7,ref_9_Img14,False
ref_9_Img7,ref_9_Img15,False
ref_9_Img7,ref_9_Img16,False
ref_9_Img8,ref_9_Img9,False
ref_9_Img8,ref_9_Img10,False
ref_9_Img8,ref_9_Img11,False
ref_9_Img8,ref_9_Img12,False
ref_9_Img8,ref_9_Img13,False
ref_9_Img8,ref_9_Img14,True
ref_9_Img8,ref_9_Img15,True
ref_9_Img8,ref_9_Img16,False
ref_9_Img9,ref_9_Img10,False
ref_9_Img9,ref_9_Img11,False
ref_9_Img9,ref_9_Img12,False
ref_9_Img9,ref_9_Img13,False
ref_9_Img9,ref_9_Img14,True
ref_9_Img9,ref_9_Img15,False
